,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
251,2-s2.0-85139850894,Scopus,2022,Article,"Wang G., Qin Z., Wang S., Sun H., Dong Z., Zhang D.","Department of Computer Science, Florida State University, Tallahassee, FL, USA; Department of Computer Science, Rutgers University, New Brunswick, NJ, USA; School of Computer Science &amp; Engineering, Southeast University, Nanjing, Jiangsu, China; School of Traffic and Transportation, Beijing Jiaotong University, Beijing, China; Department of Computer Science, Wayne State University, Detroit, MI, USA",Towards Accessible Shared Autonomous Electric Mobility with Dynamic Deadlines,accessibility; Costs; deep reinforcement learning; dynamic deadline; fleet management; Heuristic algorithms; Mobile computing; Public transportation; Real-time systems; Shared autonomous electric mobility; Task analysis; Vehicle dynamics,"Shared autonomous electric mobility has attracted significant interest in recent years due to its potential to save energy consumption, enhance mobility accessibility, reduce air pollution, mitigate traffic congestion, etc. Although providing convenient, low-cost, and environmentally-friendly mobility, there are still some roadblocks to achieve efficient shared autonomous electric mobility, e.g., how to enable the accessibility of shared autonomous electric vehicles in time. To overcome these roadblocks, in this paper, we design <monospace>Safari</monospace>, an efficient <underline>S</underline>hared <underline>A</underline>utonomous electric vehicle <underline>F</underline>leet m<underline>A</underline>nagement system with joint <underline>R</underline>epositioning and charg<underline>I</underline>ng based on dynamic deadlines to improve both user experience and operating profits. Our <monospace>Safari</monospace> considers not only the highly dynamic user demand for <italic>vehicle repositioning</italic> (i.e., where to relocate) but also many practical factors like the time-varying charging pricing for <italic>charging scheduling</italic> (i.e., where to charge). To perform the two tasks efficiently, in <monospace>Safari</monospace>, we design a dynamic deadline-based deep reinforcement learning algorithm, which generates dynamic deadlines via usage prediction combined with an error compensation mechanism to adaptively learn the optimal decisions for satisfying highly dynamic and unbalanced user demand in real time. More importantly, we implement and evaluate the <monospace>Safari</monospace> system with 10-month real-world shared electric vehicle data, and the extensive experimental results show that our <monospace>Safari</monospace> achieves 100&#x0025; of accessibility and effectively reduces 26.2&#x0025; of charging costs and reduces 31.8&#x0025; of vehicle movements for energy saving with a small runtime overhead at the same time. Furthermore, the results also show <monospace>Safari</monospace> has a great potential to achieve efficient and accessible shared autonomous electric mobility during its long-term expansion and evolution process. IEEE",IEEE Transactions on Mobile Computing,10.1109/tmc.2022.3213125,0,0,No,,,,"United States,School of Computer Science &amp,China",,,,,,,,,,,,,,,,,,,,,,,,,,
257,2-s2.0-85139173881,Scopus,2022,Article,"Bindajam A.A., Mallick J., Talukdar S., Shahfahad, Shohan A.A.A., Rahman A.","Department of Architecture and Planning, College of Engineering, King Khalid University, Abha, Saudi Arabia; Department of Civil Engineering, College of Engineering, King Khalid University, P.O. Box: 394, Abha, 61411, Saudi Arabia; Department of Geography, Faculty of Natural Science, Jamia Millia Islamia, New Delhi, India",Modeling the spatiotemporal heterogeneity of land surface temperature and its relationship with land use land cover using geo-statistical techniques and machine learning algorithms,Abha-Khamis Mushyet; LISA model; Mono-window algorithm; Parallel coordinate plot; Support vector machine,"Rapid changes in land use and land cover (LULC) have ecological and environmental effects in metropolitan areas. Since the 1990s, Saudi ArabiaÂs cities have undergone tremendous urban growth, causing urban heat islands, groundwater depletion, air pollution, loss of ecosystem services, etc. This study evaluates the variance and heterogeneity in land surface temperature (LST) because of LULC changes in Abha-Khamis Mushyet, Saudi Arabia, from 1990 to 2020. The research aims to determine the impact of urban biophysical parameters on the HighÂHigh (HÂH) LST cluster using geospatial, statistical, and machine learning techniques. The support vector machine (SVM) was used to map LULC. The land surface temperature (LST) has been derived using the mono-window algorithm (MWA). The local indicator of spatial associations (LISA) model was implemented on the spatiotemporal LST maps to identify LST clusters. Also, the parallel coordinate plot (PCP) approach was employed to examine the relationship between LST clusters and urban biophysical variables as a proxy of LULC. LULC maps show that urban areas rose by > 330% between 1990 and 2020. Built-up areas had an 83.6% transitional probability between 1990 and 2020. In addition, vegetation and agricultural land have been transformed into built-up areas by 17.9% and 21.8% respectively between 1990 and 2020. Uneven LULC changes in terms of built-up areas lead to increased LST hotspots. High normalized difference built-up index (NDBI) was linked to LST hotspots but not normalized difference water index (NDWI) or normalized difference vegetation index (NDVI). This research could help policymakers develop mitigation strategies for urban heat islands. Â© 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Environmental Science and Pollution Research,10.1007/s11356-022-23211-5,0,0,No,,,,"Saudi Arabia,India",,,,,,,,,,,,,,,,,,,,,,,,,,
264,2-s2.0-85137670372,Scopus,2022,Article,"Zhou Q., Yu Y., Liu M.-M., Bi J.","State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing, 210023, China; School of Environment, Tsinghua University, Beijing, 100084, China; Institute for Interdisciplinary Information Sciences, Tsinghua University, Beijing, 100084, China",Risk assessment of PM2.5 pollution based on machine learning and nonparametric estimation. [????????????? PM2.5 ????],exposure risk assessment; feather recognition; machine learning; non-parametric estimation; PM2.5,"A systematic approach of regional PM2.5 risk and characterization assessment was developed in this study by integrating random forest model, Quantile-Quantile plot model, and K-mean model, based on multi-source data including mobile phone signals, meteorological data, geographic data, etc. This new approach was further applied in a case study of Nanjing at a 0.3km resolution grid. On the one hand, this new approach effectively simulated the temporal and spatial distribution of the PM2.5 concentration with an10-fold cross-validation R2 of 0.76 and screened out four major pollution characteristics. On the other hand, it effectively captured the short-term population mobility risk. Short-term population mobility increased the PM2.5 exposure risk by 0.30~0.97 times, even keeping PM2.5 concentration unchanged. After combining PM2.5 concentration and population mobility simultaneously, four major PM2.5 exposure risk modes were identified. 6.5% of the areas of Nanjing were at high risk, and 23.0% were at low risk. During the 14th Five Year Plan, it is suggested that the government should speed up the application of modern science and technology in environmental protection and implement gridding and differentiated policies on air pollution risk control to promote human health. Â© 2022 Chinese Society for Environmental Sciences. All rights reserved.",Zhongguo Huanjing Kexue/China Environmental Science,b,0,0,No access,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2-s2.0-85136230530,Scopus,2022,Article,"Yang W., Du J., Jia B., Yang L., Dong R., Li X.","School of Information Science and Engineering, Lanzhou University, Lanzhou, 730000, China; Business School, Sichuan University, Chengdu, 610065, China; National University of Defense Technology, Changsha, 410000, China; Southwest Jiaotong University, Chengdu, 614202, China","PM 2.5 concentration prediction in Lanzhou, China, using hyperchaotic cuckoo searchÂextreme learning machine",Cuckoo search; Extreme learning machine; Hyperchaotic system; PM 2.5 prediction,"High concentrations of PM 2.5 cause environmental problems and many serious health effects, including heart and lung disease. To assess the PM 2.5 level with high accuracy, an advanced extreme learning machine (ELM) model is proposed, which combines the advantages of the hyperchaotic system and the cuckoo search algorithm. It improves the accuracy of the original ELM and avoids manual adjustment of parameters. The model examines the PM 2.5 concentration in Lanzhou, China, with daily predictions at four stations in 2018. It is also compared with different methods, such as the original ELM, multiple linear regression , and long short-term memory , and the results show that the proposed model obtains better forecasting performance than the others in terms of root mean squared error and the coefficient of determination (R 2), respectively. In addition, the model is applied to make short-term forecasts for four stations, predicting hourly PM 2.5 concentrations over the next week based on fourteen days of monitoring data. They are in high agreement with the monitored PM 2.5 concentrations. Our research indicates that the proposed model can facilitate effective measures to avoid exposure to high concentrations of PM 2.5. Meanwhile, it also provides a novel way to predict air pollution. Â© 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Stochastic Environmental Research and Risk Assessment,10.1007/s00477-022-02293-0,0,0,Yes,"ELM,LR,LSTM,PFM,BPNN",,No,China,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2-s2.0-85135740622,Scopus,2022,Article,"Chen Y., Yu P., Chen W., Zheng Z., Guo M.","Department of Computer Science and Computing, Zhejiang University City College, Hangzhou, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",Meta-learning based Classification for moving object trajectories in Mobile IoT,Animals; Computational modeling; Deep learning; Dynamic programming; GPS-enabled devices; Internet of Things; Meta-learning; Mobile IoT; Training; Trajectory; Trajectory classification,"The proliferation and ubiquity of GPS-enabled mobile Internet of Things (IoT) devices (e.g., drones and unmanned robotic devices) across many disciplines has generated substantial interest in the analysis and mining of trajectory data for enhancing public services such as air pollution monitoring and road safety. Among all trajectory analysis techniques in mobile IoT, classifying moving device trajectories is a fundamental research problem due to its importance for numerous important mobile IoT applications such as travel demand analysis and animal migration patterns. However, existing classification methods for moving object trajectories either are dynamic programming problems (such as similarity-based methods with dynamic time wrapping or Fr&#x00E9;chet distance) with a quadratic time complexity in all cases, or need abundant labeled samples to training classification model, thus limit the scalability of these methods for given resource-constrained mobile IoT devices. In this study, we propose a deep learning-based approach for trajectory classification in mobile IoT with linear time complexity by firstly encoding a trajectory as a vector via deep representation learning, then utilizing a meta-learning based approach to learn the ability of classifying trajectory with few annotated samples. Experiments on a massive trajectory dataset show that the proposed approach outperforms state-of-the-art baselines consistently and significantly. IEEE",IEEE Transactions on Big Data,10.1109/tbdata.2022.3195861,0,0,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2-s2.0-85132823823,Scopus,2022,Article,"Mohan A.S., Abraham L.","Department of Electronics and Communication Engineering, LBS Institute of Technology for Women, APJ Abdul Kalam Technological University, Thiruvananthapuram, India",An Ensemble Deep Learning Model for Forecasting Hourly PM2.5 Concentrations,Attention mechanism; bidirectional LSTM; CNN-BiLSTM; deep neural network; ensemble learning; PM2.5 prediction,"Air pollution has become an environmental threat globally. Therefore, air pollution estimation and prediction are crucial for effecting timely control measures. This paper proposes an ensemble deep particulate forecaster (EDPF) to predict hourly PM2.5 concentrations for a day ahead. Air quality data from Thiruvananthapuram, Kerala (an Indian state), is used as a case study to demonstrate the model. The effect of other pollutant concentrations and various meteorological parameters on PM2.5 prediction is first studied using Pearson correlation analysis and recursive feature elimination method. Thus, the most relevant features for the forecast of PM2.5 concentrations are identified. Then preliminary PM2.5 predictions are made using two base predictors: an attention-based convolutional neural network - bidirectional long short-term memory (CNN-BiLSTM) model and a bidirectional long short-term memory model (BiLSTM). Finally, a feed-forward deep neural network (DNN) model combines the preliminary predictions yielding the final PM2.5 predictions. The proposed model is validated for long-term forecasting of PM2.5 at Thiruvananthapuram, and the model attains root mean squared error of 12.96 Âµg/m3 and mean absolute error of 9.28 Âµg/m3 for forecasting 24 h ahead PM2.5 concentrations. The experimental results demonstrate that the model performs better compared to various deep learning models in the literature. The effectiveness of the model in all four seasons is also evaluated, which reveals winter is the most challenging season to forecast. Â© 2022 IETE.",IETE Journal of Research,10.1080/03772063.2022.2089747,0,0,Yes,"LSTM,CNN,DNN",,,India,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2-s2.0-85129587139,Scopus,2022,Article,"Peng Z., Zhang C., Cao B., Hong Z., Han X.","Information Management Department, Beijing Institute of Petrochemical Technology, Beijing, Daxing, China; School of Computer Science, XiÂan Shiyou University, Shaanxi, Huyi, China; New Material Application Technology Center of GRIMAT Engineering Institute Co., General Research Institute for Nonferrous Metals, Huairou, Beijing, China",An interpretable prediction of FCM driven by small samples for energy analysis based on air quality prediction,,"In order to achieve prevention and control of air pollution through energy consumption adjustment in advance, the paper proposes an Fuzzy Cognitive Map (FCM) of various energy resources affecting air quality, an incremental prediction algorithm of FCM and gradient descending method used to learn the FCM based on the small sample data on various energy consumptions and concentration of air pollutants. The FCM as an interpretable prediction method not only can predict future air quality more accurately, but also can analyze and interpret the affecting of various energy types on the future air quality. As the time delay of various energy consumptions affecting concentration of air pollutants, the quantitative time sequence influencing relationships (causality) in the FCM is mined directly from these data, and the air quality affected by various types of energy consumptions is predicted based on the FCM. Accordingly, the energy types affecting air pollution can be obtained for prior decision of energy consumption structure adjustment. The experimental results in Beijing-Tianjin-Hebei show that the FCM modeling is better than Support Vector Regression (SVR), Linear Regression (LR), Principal Component Analysis (PCA)-based forecasting, Convolutional Neural Networks (CNN) and Long-Short Term Memory (LSTM) methods in predicting air quality affected by energy resources, meanwhile according to the interpretable prediction results of the FCM, we obtain some interesting results and suggestions on energy consumption types in Beijing-Tianjin-Hebei regions in advance. Implications: At present, ChinaÂs air pollution control has entered the deep-water area, and the biggest challenge is how to adjust the energy (consumption) structure. Therefore, this study completed the two important tasks: (1) driven by small sample data of energy consumptions, the paper provides an interpretable prediction model and method with better performance to achieve prevention and control of air pollution through energy consumption adjustment in advance; (2) according to the interpretable prediction results, the paper obtains some interesting results used to guide energy consumption adjustment in Beijing-Tianjin-Hebei regions. This study will provide beneficial suggestions and strategies for air pollution prevention and control in Beijing-Tianjin-Hebei, will help improve the air quality and energy consumption structure in Beijing-Tianjin-Hebei, and also can be extended to other regions. Â© 2022 Air & Waste Management Association.",Journal of the Air and Waste Management Association,10.1080/10962247.2022.2064006,0,0,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2-s2.0-85129238351,Scopus,2022,Article,"Zhimei Q., Xiong Y., Tian H., Deng X., Qin P., Zhan Y., Wang B., Zeng X.","Chengdu Big Data Incorporated Company, Chengdu, China; College of Architecture and Environment, Sichuan University, Chengdu, China; Sichuan Academy of Environmental Policy and Planning, Chengdu, China; Chengdu Technical Support Center of Vehicle Exhaust Pollution Control, Chengdu, China; Chengdu Supercomputing Center Operation Management Co., Ltd, Chengdu, China",Influential factors for the emission inspection results of urban in-use vehicles: From an ensemble learning perspective,,"Emission inspection of motor vehicles (emission inspection) is a crucial player in solving the problem of motor vehicle exhaust pollution, and research on the features affecting emission inspection results and their importance is a basis for optimizing the environmental management of motor vehicles. However, there is no study on the multi-feature impact analysis of the emission inspection results. To address this, the ensemble learning algorithm and interpretable machine learning theory were applied. Nineteen feature indicators and over 400,000 vehicle mass analysis system (VMAS) detection data in Chengdu were selected from the emission inspection database to construct prediction models for emission inspection results. The factors affecting emission inspection results and their ranks by importance were also obtained. The results revealed that the environment has a strong influence on the outcomes from emission inspections (accounting for about one-third of the total effect). Also, the following eight feature indicators displayed great effects on emission inspection results in sequence: emission inspection agency (18.38%), world manufacturer code (15.01%), vehicle usage days (9.60%), transmission type (9.41%), accumulated mileage (9.21%), emission standard (5.82%), temperature (5.54%), and driving mode (5.50%). The prediction models for emission inspection results were established, and the results were interpreted based on the interpretable machine learning theory. The supervision of emission inspection agencies, training of inspectors, elimination of obsolete vehicles, and government-guided purchase should be strengthened.",Journal of the Air and Waste Management Association,10.1080/10962247.2022.2035851,0,0,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2-s2.0-85116228648,Scopus,2022,Article,"Kerpel-Fronius A., TammemÃ¤gi M., Cavic M., Henschke C., Jiang L., Kazerooni E., Lee C.-T., Ventura L., Yang D., Lam S., Huber R.M., Zulueta J., Viola L., Mohan A., Schmidt H., Sales dos Santos R., Sozzi G., Huber R., members of the Diagnostics Working Group, ED and Screening Committee","OrszÃ¡gos KorÃ¡nyi PulmonolÃ³giai IntÃ©zet, National KorÃ¡nyi Institute for Pulmonology, Budapest, Hungary; Prevention and Cancer Control, Ontario Health (Cancer Care Ontario), Toronto, ON, Canada; Department of Health Sciences, Brock University, St. Catharines, ON, Canada; Department of Experimental Oncology, Institute of Oncology and Radiology of Serbia, Belgrade, Serbia; Department of Radiology, Icahn School of Medicine, Mount Sinai Hospital, New York, NY, United States; Shanghai Chest Hospital, Shanghai Jiao Tong University, Shanghai, China; Division of Cardiothoracic Radiology and Internal Medicine, University of Michigan Medical School, Ann Arbor, MI, United States; Division of Pulmonary and Critical Care Medicine, University of Michigan Medical School, Ann Arbor, MI, United States; Division of Pulmonology and Critical Care Medicine, Department of Internal Medicine, Seoul National University College of Medicine, Seoul, South Korea; Department of Internal Medicine and Respiratory Center, Seoul National University Bundang Hospital, Seongnam, South Korea; Thoracic Surgery, Department of Medicine and Surgery, University of Parma, Parma, Italy; Department of Pulmonary Medicine and Critical Care, Zhongshan Hospital, Fudan University, Shanghai, China; Department of Integrative Oncology, British Columbia Cancer Research Institute, Vancouver, BC, Canada; Department of Medicine, University of British Columbia, Vancouver, BC, Canada; Division of Respiratory Medicine and Thoracic Oncology, Department of Internal Medicine V, Thoracic Oncology Centre Munich, University of MunichÂCampus Innenstadt Munich, Germany, member of the German Center for Lung Research (DZL Â CPC-M)",Screening for Lung Cancer in Individuals Who Never Smoked: An International Association for the Study of Lung Cancer Early Detection and Screening Committee Report,Early detection; Epidemiology; Low-dose computed tomography; Lung cancer; Never-smokers; Screening,"Screening with low-dose computed tomography of high-risk individuals with a smoking history reduces lung cancer mortality. Current screening guidelines and eligibility criteria can miss more than 50% of lung cancers, and in some geographic areas, such as East Asia, a large proportion of the missed lung cancers are in never-smokers. Although randomized trials revealed the benefits of screening for people who smoke, these trials generally excluded never-smokers. Thus, the feasibility and effectiveness of lung cancer screening of individuals who never smoked are uncertain. Several known and suspected risk factors for lung cancers in never-smokers such as exposure to secondhand smoke, occupational carcinogens, radon, air pollution, and pulmonary diseases, such as chronic obstructive pulmonary disease and interstitial lung diseases, and intrinsic factors, such as age, are well noted. In this regard, knowledge of risk factors may make possible quantification and prediction of lung cancer risk in never smokers. It is worth considering if and how never smokers could be included in population-based screening programs. As the implementation of these programs is challenging in many countries owing to multiple factors and the epidemiologic differences by global regions, these issues will need to be evaluated in each country taking into account various factors, including accuracy of risk assessment and cost-effectiveness of screening in never smokers. This report aims to outline current knowledge on risk factors for lung cancer in never smokers to propose research strategies for this topic and initiate a broader discussion on lung cancer screening of never smokers. Similar considerations can be made in current and ex-smokers, which do not fulfill the current screening inclusion criteria, but otherwise are at increased risk. Although screening of never smokers may in the future be effectively conducted, current evidence to support widespread implementation of this practice is lacking. Â© 2021 International Association for the Study of Lung Cancer",Journal of Thoracic Oncology,10.1016/j.jtho.2021.07.031,0,0,No,,,,"Hungary,Canada,Serbia,United States,China,South Korea,Italy,member of the German Center for Lung Research (DZL Â CPC-M)",,,,,,,,,,,,,,,,,,,,,,,,,,
377,2-s2.0-85117137309,Scopus,2021,Article,"Wang X., Huang R., Zhang W., LÃ¼ B., Du Y., Zhang W., Li B., Hu Y.","Hangzhou AiMa Technologies, Hangzhou, 311121, China; Huayun Sounding Meteorological Technology Company, Ltd., Beijing, 102299, China; Sichuan Bio-Environmental Monitoring Center, Chengdu, 610091, China; School of Civil and Environmental Engineering, Georgia Institute of Technology, Atlanta, GA 30332, United States",Forecasting Ozone and PM2.5 Pollution Potentials Using Machine Learning Algorithms: A Case Study in Chengdu [???????????? PM2.5????????-??????],BP neural network; Medium- and long-term air pollution potential forecast; Multiple linear regression; Random forest,"Potential forecast models have been developed for air pollution of summertime (Apr.-Aug.) ozone and wintertime (Nov.-Feb.) PM2.5 in Chengdu using the multiple linear regression (MLR), back-propagation (BP) neural network (NN) and random forest (RF) algorithms. The key predicting factors for each of the models are selected from various potential factors that may impact the spatiotemporal distribution of pollutions. The models are trained and established with 2016-2018 datasets and evaluated with a data-withheld method and further with independent 2019 dataset. The results show that the MLR, NN and RF models are all capable to accurately predict O3 and PM2.5 pollution potentials in short lead-time (1-3 days) in Chengdu. The models are also found having quite stable performances in medium- and long-term (7-15 days lead time) forecasts. Among the three models, the MLR model performs the best in prediction of O3, while RF model performs the best for PM2.5. Â© 2021 Peking University.",Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,10.13209/j.0479-8023.2021.070,0,0,Yes,"LR,BPNN,RF",,No,"China,United States",,,,,,,,,,,,,,,,,,,,,,,,,,
383,2-s2.0-85113728322,Scopus,2021,Article,"Li K., Deng H., Morrison J., Habre R., Franklin M., Chiang Y.-Y., Sward K., Gilliland F.D., Ambite J.L., Eckel S.P.","Department of Population and Public Health Sciences, University of Southern California, Los Angeles, CA 90032, United States; Spatial Sciences Institute, University of Southern California, Los Angeles, CA 90089, United States; Applied AI and Data Science, City of Hope National Medical Center, Duarte, CA 91010, United States; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN 55455, United States; Department of Biomedical Informatics, University of Utah, Salt Lake City, UT 84108, United States; Department of Computer Science, University of Southern California, Los Angeles, CA 90089, United States",W-tss: A wavelet-based algorithm for discovering time series shapelets,Pattern discovery; Shapelets; Time series classification; Time series mining; Wavelets,"Many approaches to time series classification rely on machine learning methods. However, there is growing interest in going beyond black box prediction models to understand discriminatory features of the time series and their associations with outcomes. One promising method is time-series shapelets (TSS), which identifies maximally discriminative subsequences of time series. For example, in environmental health applications TSS could be used to identify short-term patterns in exposure time series (shapelets) associated with adverse health outcomes. Identification of candidate shapelets in TSS is computationally intensive. The original TSS algorithm used exhaustive search. Subsequent algorithms introduced efficiencies by trimming/aggregating the set of candidates or training candidates from initialized values, but these approaches have limitations. In this paper, we introduce Wavelet-TSS (W-TSS) a novel intelligent method for identifying candidate shapelets in TSS using wavelet transformation discovery. We tested W-TSS on two datasets: (1) a synthetic example used in previous TSS studies and (2) a panel study relating exposures from residential air pollution sensors to symptoms in participants with asthma. Compared to previous TSS algorithms, W-TSS was more computationally efficient, more accurate, and was able to discover more discriminative shapelets. W-TSS does not require pre-specification of shapelet length. Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Sensors,10.3390/s21175801,0,0,No,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
462,2-s2.0-85104741237,Scopus,2021,Article,"Yao H., Shi R.","Key Laboratory of Geographical Information Science, Ministry of Education, East China Normal University, Shanghai, 200241, China; School of Geographic Sciences, East China Normal University, Shanghai, 200241, China; Joint Laboratory for Environmental Remote Sensing and Data Assimilation, East China Normal University, Shanghai, 200241, China; Joint Research Institute of Resources and Environment, East China Normal University, Shanghai, 200062, China; Institute of Eco-Chongming, East China Normal University, Shanghai, 202162, China",Research on hourly PM2.5 concentration prediction of random forest based on optimal selection of surrounding stations [???????????????PM2.5????????],Atmospheric pollutants; Machine learning; Time lag cross-correlation; Time series,"PM2.5 is a major air pollutant that threatens human health, and it is significant to be effectively predicted and promptly warned. Many studies have shown that the Random Forest model (RF) has good results in the prediction of PM2.5 concentration at a single station by incorporating the information of surrounding stations. However, the research on the selection of surrounding stations is lack of pertinence, and some existing selection methods are subjective. We proposed a method for optimizing the selection of surrounding stations based on Time-Lag Cross-Correlation (TLCC) analysis in this research. Taking the air quality monitoring station (national-level station) of Shanghai Shiwuchang as an example, a set of RF regression models were constructed to predict the PM2.5 concentration of the station in the next 1 to 24 hours, and the importance of each input factor in the prediction model was compared and analyzed. We found that the current PM2.5 concentration of the prediction station would significantly impact the prediction of the next 1 to 16 hours, while the wind direction was crucial for the prediction of the next 17 to 24 hours. As the forecast time increased, PM2.5 concentration of the surrounding stations significantly improved in importance ranking, and the impact of different stations was significantly different when forecasting at different times. Therefore it was treated differently when modeling. The comparison results showed that the prediction model established by the method of selected surrounding stations proposed in this paper not only had certain advantages in accuracy (12-hour and 24-hour forecast RMSE decreased by 11.8% and 13.3%), but the false alarm ratio also decreased significantly (the forecasted false alarm ratio for 12 hours and 24 hours dropped by 16.1% and 25.6%). The study has practical value and potential applications in predicting and prewarning air pollution. Â© 2021, Science Press. All right reserved.",Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,10.13671/j.hjkxxb.2020.0336,0,0,No english,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
534,2-s2.0-85104283160,Scopus,2021,Article,"Jiang Z., Wang X.","Department of Energy and Resources Engineering, College of Engineering, Peking University, Beijing, China; Beijing Key Laboratory for Solid Waste Utilization and Management, Peking University, Beijing, China",Research on air pollution system based on neural network,air pollution; intelligent monitoring; machine learning; Neural network,"This paper conducts in-depth research and analysis on the commonly used models in the simulation process of air pollutant diffusion. Combining with the actual needs of air pollution, this paper builds an air pollution system model based on neural network based on neural network algorithm, and proposes an image classification method based on deep learning and Gaussian aggregation coding. Moreover, this paper proposes a Gaussian aggregation coding layer to encode image features extracted by deep convolutional neural networks. Learn a fixed-size dictionary to represent the features of the image for final classification. In addition, this paper constructs an air pollution monitoring system based on the actual needs of the air system. Finally, this article designs a controlled experiment to verify the model proposed in this article, uses mathematical statistics to process data, and scientifically analyze the statistical results. The research results show that the model constructed in this paper has a certain effect. Â© 2021 - IOS Press. All rights reserved.",Journal of Intelligent and Fuzzy Systems,10.3233/jifs-189464,0,0,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
537,2-s2.0-85101319726,Scopus,2021,Article,Qin D.,"College of Network Engineering, Zhoukou Normal University, Zhoukou, Henan, 466001, China",PM2.5 concentration prediction based on hierarchical attention lstm in big data environment,Air pollution; Big data; Fusion processing; Hierarchical attention LSTM; PM2.5 concentration prediction; RBF neural network,"In order to solve the problem of the relatively low accuracy of current PM2.5 concentration prediction, a PM2.5 concentration prediction based on deep learning in a big data environment is proposed. First, observation data related with PM2.5 concentration are collected and standardized per hour from atmospheric background monitoring station of Zhoukou City, and the features of the data are extracted by principal component analysis (PCA) as the input variables of the model. Then, hierarchical attention long short-term memory network (LSTM) and radial basis function (RBF) neural network are used to obtain spatiotemporal features. Finally, PM2.5 concentration data, meteorological station observation data and weather element grid data are fused to generate spatiotemporal sequence data for training and testing, which are input into a fully connected layer to obtain the prediction results. Based on Python platform and machine learning library, the prediction experiment on PM2.5 monitoring data in Zhoukou City is carried out by using the proposed model. The results show that compared with other models, the prediction value of the proposed model is the closest to the real value. The proposed model has high generalization ability, which can effectively improve the prediction accuracy of PM2.5 concentration for a long time. Â© 2021 Parlar Scientific Publications. All rights reserved.",Fresenius Environmental Bulletin,c,0,0,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
594,2-s2.0-85091159681,Scopus,2020,Article,"Deng L., Wu Q., Yang S.","The Academy of Digital China(Fujian), Fuzhou, 350003, China; Key Lab of Spatial Data Mining and Information Sharing of Ministry of Education, Fuzhou University, Fuzhou, 350108, China; National & Local Joint Engineering Research Center of Satellite Geospatial Information Technology, Fuzhou, 350108, China",Use of stack sparse auto-encoder (SSAE) deep feature learning and long short-term memory (SSAE-LSTM) neural network for the prediction of hourly PM2.5 concentration [??SSAE???????LSTM???PM2.5??????],Feature extraction; LSTM; PM2.5 concentration hourly prediction; SSAE; Time series modeling,"Accurate prediction of PM2.5 concentration at the hour scale can improve the capabilities of air pollution forecast. Traditional models for PM2.5 prediction rely on a number of selected factors, while the selection of factors is hard to conduct. In this paper, we propose a new model using a Stack Sparse Auto-Encoder (SSAE) and a Long-Short Term Memory (LSTM) neural network for PM2.5 concentration prediction, referred to as SSAE-LSTM. We use the SSAE method to automatically extract high-level features with respect to PM2.5 based upon several factors regarding time, space, weather and air pollution. The extracted features are then used to build a time-series LSTM model that is able to extract effective spatial-temporal features. The proposed SSAE-LSTM model was evaluated using datasets of air pollution and weather collected from 71 air monitoring sites in Beijing-Tianjing-Hebei urban areas from 2016 to 2018, and compared with existing methods. Experimental results show that the predicted results by the proposed method had a higher accuracy than that of existing methods, having an IA index over 0.99 for all testing datasets, while the corresponding RMSE and MAE were dropped to 13.98 and 7.90, respectively. Furthermore, we applied the SSAE-LSTM to the datasets of 71 air monitoring sites covering the spring, summer, autumn, and winter seasons. Results showed that the predicted values were highly correlated with ground-truth values for all seasons, with coefficients of 0.86, 0.92, 0.96, 0.93, respectively. Moreover, the predicted results of the Wanshouxigong site in Beijing revealed that the SSAE-LSTM model can be effectively used for PM2.5 prediction at various air quality conditions. Â© 2020, Science Press. All right reserved.",Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae,10.13671/j.hjkxxb.2020.0108,0,0,No english,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
